,sentence,emoji
131,此次疫情，上海做的还是可以的，一是让人无不对官僚和资本家深恶痛绝，二是让人充分的认知到了无产阶级革命和社会主义改造的必要性,[二哈]
132,我们小区有个良心团长帮我们团购1.5元／斤的莴笋，2元／斤的包菜，还被其他黑心团长举报 上海,[怒骂]
133,家人们过年了，我的cp是真的还是会被真诚的爱所感动,[泪]
134,话说当年我真的觉得尔豪是最帅的，但是可云是真的惨，所以他再帅我还是讨厌尔豪这个角色……苏明哲也让我感觉配不上他老婆不过都挺好我没看完,[笑cry]
135,ok fine.做核酸去了,[摊手]
136,苍天啊 编剧是不是快手短剧看多了 我们东北人没这么彪 这比彪哥都彪,[二哈]
137,天啊，赵丽颖真的是温柔本身啊，还会担心小演员有没有卡喉，这也太温柔了吧,[哇]
138,陈主簿好认真,[憧憬]
139,要不还是把地球还给病毒吧 我累了,[单身狗]
140,疯了吧就喜欢把妈宝男这种贬义词娱乐化再把x媛污名化是吗早晚造了飞船远离这破地球，外星人看了都要说一声晦气,[可爱]
141,别了别了。球球，我不想拍,[泪]
142,还挺有创意的,[挖鼻]
143,认真做一件事，会解释所有事。 韦神强,[打call]
144,不说流感了北京这天飘的絮絮到鼻子喉咙里都会打几个喷嚏,[允悲]
145,啊难怪昨晚连续梦回 原来高考已至,[熊猫]
146,还以为是手机出毛病了，进了三四次都给我退出来，点一下都直接给我退出来,[怒]
147,所以要见到豪车要躲开,[二哈]
148,虽然说没看过原著，但是剧方买了版权又不尊重原著，何必要花这个钱呢，直接现编剧本不就行了，说到底不就是想吃原著粉的红利大女主变大男主谁愿意看,[doge]
149,笑死 昨天五点半我和领导打声招呼说走了，她问我：你有急事儿吗？ 笑话，朝九晚五上够八个小时的班，我都已经加班半个小时了你还想让我怎样，然后我就走啦别想按头让我加班，呸,[耶]
150,噫以前没关注过，期待了,[打call]
151,8k视频有点子吸引人 所以是一定要我们搞pro或者pro max啊,[晕]
152,真的不为什么，就是不想出省，恋家罢了，舍弃不了我妈煲的靓汤,[单身狗]
153,杨洋体态挺好，给全身镜头的时候做动作就很赏心悦目。但可能人设原因，面部表情太单调了点。就多给他一点有动作的镜头吧。 剧情目前挺无聊的，不太感兴趣。 但杨洋和赵露思同框的画面挺有CP感，第一集只同框了那几分钟，就有点甜到。人设也很配。对这种剧情真的没啥兴趣，后期 ...全文,[坏笑]
154,我晚年,[单身狗]
155,好好休息 多注意身体,[哇]
156,良品铺子开得挺好，可能这里是良品老家吧 武汉,[嘻嘻]
157,我花钱娶老公还要花钱买婚纱吃定我了是吧,[太开心]
158,期待演员朱一龙 期待《人生大事》 期待朱一龙 期待莫三妹 期待三哥 疫情过后我们一起相约在电影院 去看《人生大事》吧 期待朱一龙更多的电影 朱一龙一定会在中国电影史上留名的朱一龙 吉林市,[打call]
159,想看看小宇 就看看不行吗,[苦涩]
160,我不管，我妈最美！我爱我妈我要做妈宝女,[爱你]
161,阿婆厉害不过救人的同时也要注意自己的安全,[good]
162,九命 我居然看完了,[允悲]
163,《警察荣耀》杨树：记一次不堪回首的卧底生涯！哈哈哈哈哈～ 钟姐：“过来” 杨树：“生无可恋” 李大为 ：哄姐姐们开心这很难吗？再不收网我就成头牌了～,[舔屏]
164,这禁毒意识,[666]
165,关关难过关关过 前路漫漫亦灿烂 高考加油 我的美女姐姐,[抱一抱]
166,死去的青岛记忆突然起来攻击我 今年不封就好事啦！！,[泪]
167,蹲个乙卷理综,[抱抱]
168,下跌原因都已经编到没得编了吧,[允悲]
169,作为粉丝，我很自豪，这次为了演技,[鼓掌]
170,#丁程鑫 花儿与少年# 5.9 #丁程鑫 ACE门面主舞# 宝啊！,[航天员]
171,哈哈哈哈哈哈哈哈哈,[666]
172,真的拜托快出新专辑吧。两位大哥,[作揖]
173,五月啦 人总得有进步才行,[ok]
174,太原西安郑州，我又可以了，你加加油，我也加加油抢票,[打call]
175,男拳是都没上过学吗？ 拐卖跟普信 我觉得小学生都比你们阅读能力强 多读书多看报 随意对号入座那可说明了一切y人们,[挖鼻]
176,求加更！好久没有看过这么上头的古偶剧了！预告、花絮、各种视频都快翻烂了，还是看不够,[舔屏]
177,看这片段剪辑真乐死我了,[笑cry]
178,脑子自觉翻译 类人猿爱模仿 懂得都懂,[doge]
179,勇士三分31投5中，三分命中率是不是创了季后赛新低？ 更震撼的是，勇士竟然还领先,[偷笑]
180,不错的，可惜我这辈子与公务员是无缘了。,[允悲]
181,所以为什么一次次的，还有人相信他，狗狗币的事儿我还依稀记得,[允悲]
182,求求了，快点下宇吧……,[泪]
183,总决赛硬生生打成了表演赛我真的会谢,[苦涩]
184,一早，不到七点，验核酸的队伍排了二里地了大家也太积极了。,[笑cry]
185,有病嘛不是,[汗]
186,大国自信 我家大门常打开 我在站里等你,[good]
187,才刚好怎么又来,[伤心]
188,重生之门 昨晚逛广场发现了一个分析。 但现在找不到了 大体就是。庄文杰在洗手间捏住的那瓶药好像是抗精神分裂的。这个💊的副作用是面部肌肉僵硬（第一集庄文杰在审讯室里所谓表情不自然 说话时有些奇怪） 容易出现幻觉（经常陷入正与邪的挣扎中）（还有一 ...全文,[哇]
189,我真的会谢,[单身狗]
190,阴阳师手游5.18我在庭院等你我的🐍 🐍 （其实我是怕蛇人事但是阴阳师让我爱上了两条蛇）,[doge]
191,立马去听100遍,[哇]
192,哇的一声哭出来 “因为爱你，所以一次次就你这次也是最后一次了！” 这是什么恶性循环啊，他救她，她又救他，编剧我能给你寄刀片吗？又是一个意难平的be文学！,[泪]
193,这个家长也太粗心了,[允悲]
194,啊！墨宝！,[笑cry]
195,在考场上如果做错了题，或者是碰到一些感觉不太顺心的情况，不要太紧张太纠结。 因为总有一天，你碰到的人和事会让你觉得，高考的时候错的那道题，就是错得刚刚好。“失之东隅，收之桑榆。”做对的每一题是为了遇见更好的自己，而错的每一题是为了遇见更好的他人,[心]
196,期待老陈和家谦的新专,[抱一抱]
197,望平安,[泪]
198,不是吧老李确诊为数不多喜欢的nh演员了 真的好喜欢他来着 要早日康复,[单身狗]
199,小道士死了,[泪]
200,我们家奶兜可是放狠话第一名,[求饶]
201,建议你吗呢煞笔玩意 我特喵在青岛两个多月没出校门 合着校外的随便连串随便玩 就尼玛大学生跟猴一样关在学校是吧 球球了 放我回家 没有那个防疫条件不想担责把我们刚回家 责任我自己承担 酸Q了🙏,[太开心]
202,还是那个臭屁小孩，放狠话第一名🥇 但是我宝打的确实挺不错，期待节目中野王哥哥黄明昊的精彩表现,[羞嗒嗒]
203,杨洋 黑狐狸下棋,[哇]
204,㊗️祝融号在别的星球顺利过冬！ 网页链接,[开学季]
205,这种白皮猪来参加亚运会本身就挺违和的。 感谢你不来,[鼓掌]
206,见过自救的，像想姐这样的自救方法还是第一次见！沐想想 拿砖头打僵尸把自己送棺材里，想要人头嘛，自己送上门的那种！ 每周四五六20点更新，更多想姐神奇操作，等你来看！,[笑cry]
207,更近一下核算进度谢谢我不想再被拒之门外,[开学季]
208,这个tag里面也是很多人在讲取消3+11，也有一个专门的tag是3+11，每天讨论的人也很多，浏览量也很多，就是上不去热搜。3+11提出来就是不公平的，基层群众去哪都要隔离，领导天天从这跑到那的也没见隔离，真的会很无语，他没肺啊还有提出这个方案的人，是不是没带 ...全文,[疑问]
209,今天晚上就去看美女,[舔屏]
210,有的人一部戏顶十几年，有的人十几年不知道拍了什么代表作,[可怜]
211,这个……怪我看字太跳跃……我还以为渣浪公开舞煌,[二哈]
212,我十天都不一定跑这么多,[困]
213,中科润达牛批昂。 先前身陷“假阳性”争议，现在出现在核检合格名单，意思是已经平安落地了吧？,[思考]
214,爱情就一定要结婚吗？又不是璃月人，啥都要契约。 做手术时纸片人也能帮签字吗 我可以做！ 你爱她，她爱你吗？她会为你做饭吗？,[二哈]
215,喜欢你我也是看了这么多期忘记了cu中文名叫啥来着！！？！！！？,[并不简单]
216,你认准再说呀，以后一定弄清楚了哈 祝健康,[作揖]
217,点进来还以为官宣新作品呢，可是有些人在干啥呢，大可不必吧，还是要说一句重生之门好看，就挺喜欢庄文杰的，期待小凯新作品，另外我可太喜欢王俊凯唱的歌了，多唱点，啥时候出专辑啊,[污]
218,没有人能逃过本草纲目连许佳琪都跳起了本草纲目,[doge]
219,纪念一下12,[打call]
220,廖博越南本博给我笑惨了，不知道还会不会有王一博越南本博,[doge]
221,五四大青年 五一假期最后一天,[挖鼻]
222,终于没有任何理由出门打工了，踏踏实实过上了校园（封校）生活,[裂开]
223,龙生龙，凤生凤，堕天使生什么？生狐狸,[泪]
224,不是在窗口期都把学生赶回家了吗,[白眼]
225,和张真源一起关注中国原创话剧 暴躁的信小文的微博视频,[送花花]
226,看来还是太紧张了，调整好心态，加油！,[加油]
227,为什么我现在才看到 都开来家门口了,[泪]
228,北京挺住啊！,[悲伤]
229,呵呵,[微笑]
230,喝过葛根粉，好像不太好喝似的,[允悲]
231,昨天地铁下车空无一人，在诺大的地铁站找了二十分钟出口。。平时的出口都被封了，硬是绕路从离家最远的一点点缝里出来了搞得我以为无锡是高风险了呢。最后冒着大雨淋了一鞋子回家。这福气我享受不来。,[微笑]
232,狠狠的期待了,[开学季]
233,羡慕！真的羡慕有这样的脑子🧠想拷贝一个留下来给我儿子用,[心]
234,毫无疑问，现在各大设备所推崇的“护眼模式”确实可以有效去除部分短波蓝光，这是毋容置疑的事情，对于那些每天需要在电脑前工作几个小时以上的办公一族来说，哪怕护眼效果不会立竿见影，它也是一项不可忽视的加分项。 面对大家逐渐对于电子护眼技术的重视，目前市面 ...全文,[思考]
235,开场很搞笑！ 不过估计是因为不能纯娱乐吧…… 之前的也是有主题，科普文化或者专业之类的 而且感觉这个还挺有意义的 不同的选择带来的结果 花花今天好好笑！！！！,[思考]
236,中国航天，越来越棒,[心]
237,我……求求了一定控制好啊,[跪了]
238,啥意思啊宝们，咱们好像没那么严重吧，是我太乐观了吗,[泪]
239,骆翔：他们是疯的呀，疯的呀,[衰]
240,我去 这种人太过分了吧,[怒]
241,想问这样的副业算不算强人所难？有什么更好的方法实现涨粉满足要求。,[吃惊]
242,解封呀,[微笑]
243,浅浅的期待一下 宇哥勇敢飞 航员永相,[送花花]
244,赛场上的努力与汗水铸就了红与黑的底色，这套炫彩看起来也非常有收藏价值啊,[哇]
245,三分库里,[打call]
246,照片是四年前的今天在学校拍的 还记得当年高考前沉迷于恋与和斗地主,[打call]
247,是的是的，开发自己才是真正的价值投资，找到你的热爱，循序渐进，你自己就是王牌,[爱你]
248,到现在都很喜欢这部剧的...前半部分 朝堂博弈 暧昧情愫都很戳我 后期从凤知微阿娘去世开始，剧情渐渐迷了 最后甚至看不懂他俩的感情发展 弃剧了 结果竟然还be了,[泪]
249,影像医生是做半年休半年吗,[疑问]
250,什么时候才能和任天真见面 年轻人学中医，好想看 @IXFORM-罗一舟,[苦涩]
251,一看是美丽国，我觉得挺正常啊没啥好惊讶的。。。庆幸自己生在中国🇨🇳，一心觉得美丽国好的不知道咋想的,[笑cry]
252,形式一片大好！ 杭州,[666]
253,一个敢教，一个敢学，真的要被陈伟霆笑死哈哈哈哈哈哈哈…… 幽冥的佛爷的微博视频,[笑cry]
254,喜欢看犯罪推理和治愈的小说,[哇]
255,我家胖子今天走路一瘸一拐 状态不对 哼哼唧唧 没精打采… 问我妈咋回事 说跳台阶的时候 左后腿隔着了… 我回家进门 还努力站起来迎接我 看着得出来她很疼 手摸了摸 肿了 用冰敷了 也没见好转 … 旺啊 你家只有我最细心你 上车抱 下车抱 能走绝不跳 能跳绝对抱 … ...全文,[允悲]
256,想起2013年9月在悉尼发生的这起银行劫案，当时媒体的标题是“劫匪用坚固的德国车撞开墙、用敏捷的日本车跑路”。 印象中这台保时捷卡宴和斯巴鲁翼豹WRX都是偷来的。当时我还在国内读高中，也不知道这个案件的后续是什么,[doge]
257,我就说怎么有部提了,[喵喵]
258,azy 敖子逸杨一杉侬好我的东北女友 三天后,[哇]
259,哪个软件看我准备好啦,[开学季]
260,殉职动车司机杨勇，原来是位退役军人，1993年参军入伍，1996年退役，曾服役于武警海南总队海口支队第二中队，送别老班长,[蜡烛]
261,,[吃瓜]
262,还记得我在我们小区小卖部拿起了一根平平无奇我以为最多也就两块钱的雪糕 后来老板告诉我 八块 他明明可以直接抢我八块钱的 还送我个雪糕,[可爱]
263,救一下我感觉过不了多久就要打丧尸了,[生病]
264,狗妈妈有没有崩溃，十四只汪汪汪，想想家里一下十几个小毛球，天哪,[笑cry]
265,如果真的是世界末日，能不能提前告诉我，我不想努力了,[裂开]
266,哈哈哈哈哈哈哈他两昨天一起连麦运动直播了吗，都怪昨天摆烂了没去,[伤心]
267,想到去年五月末追觉醒年代的时候，真的是看一集就上头一集，想着我再看一集就睡，没想到就过了一年了剧情依旧历历在目。感谢你们为如今的幸福盛世付出的一切,[泪]
268,18:00也可以，晚饭时间，,[爱你]
269,美国一年GDP二十几万亿美元 1.65亿就赚麻了 你们真会算数,[笑哈哈]
270,冬奥冠军 成为了一名光荣的黑龙江哈尔滨的防疫志愿者。任子威表示：“力量无论大小，时间不计长短，只要内心有爱，就能涓滴成海，众木成林。”正如他的绰号“大象”一样倍感可靠,[赞]
271,不愧是我大山东！！！好客山东人 本科留给外地人！！,[泪]
272,如果不是疫情突然严重，此时我应该晒美图而不是看着热搜流下羡慕的泪水,[泪]
273,王府井真的贵，我们去吃了一次48一碗的炸酱面，跟我们这10块钱一碗的没啥区别，量还少🙊,[笑cry]
274,中午才跑去金融公司问贷款的事 顾问告知是：招商,[汗]
275,这是我们肤白貌美的翩翩公子成毅李莲花🌸祝《莲花楼》开机大吉,[允悲]
276,西藏好美哇,[哇]
277,阿娇的爱情观是爱自己多一点，三分爱人七分爱己，爱自己才是终身浪漫,[打call]
278,热巴的肉都装了导航了吧,[awsl]
279,吃瓜归来，布朗云不手撕最安神吗，毕竟大锤都是最安神提供的,[并不简单]
280,小贝拿50w支援国家 猥琐男拿500块装笔羞辱女性 人类的参差,[可爱]
281,两个人没有一个好东西，就喜欢看狗咬狗哈哈哈哈 最好两个都进去,[鼓掌]
282,祝幸福,[心]
283,这对真的意难平,[苦涩]
284,是的是的，我承认研究生毕业拧螺丝。所以大家都别考了，让我来考。别再来卷了，我怕。,[doge]
285,QUEEN S,[舔屏]
286,我也真TM服了网友们真的是预言家,[允悲]
287,仿佛感觉到了🐧那些一晚上炫完40集的人在得意洋洋看微博,[doge]
288,杨鸣ym 211222 沈阳出发长春，新鲜鸣鸣子，就是有点糊 第二阶段马上开始了，期待加油加油,[允悲]
289,磁器口还是有好吃的地方的，比如陈麻花、泡椒鸡杂、毛血旺，但是你如果问我点名和地址……对不住，我都是凭着记忆导航…… 以及，刚才群里的小朋友吐槽说，王府井里的稻香村都不是北京三禾稻香村，哈哈哈，你知道稻香村不止一个吗？,[允悲]
290,原来世界上真有像谢耳朵的天才,[打call]
291,哈哈？,[汗]
292,感情纠纷啊,[哆啦A梦害怕]
293,哇偶,[傻眼]
294,黑色沙漠来咯看看到时候有多少人的角色是选择性转的,[打call]
295,不会吧不会吧 啊啊啊啊啊你不要过来啊,[苦涩]
296,无业游民谁懂！上次约了拱墅区面试，到了被告知疫情突然严重面试取消，今天约了彭埠的面试，一大早起来看到微博,[微笑]
297,每次想起来都一下回忆起考场里怎么都是我的同学俺的好朋友小马在左后边，骚哥在右后边，前面是初中同学后面也是初中同学，石河子太小了，监考老师也是我初中的老师,[哈哈]
298,....实在不行就挂选修吧....高数学分太高。（刷卡机是交重修费的么。）,[doge]
299,牛牛牛,[666]
300,小羊肖恩居然真实存在,[傻眼]
301,我c啊 真的很漂酿欸,[doge]
302,打开萌探超话 获得暖心瞬间我们家族粉最惨😢,[抱抱]
303,送上杨指导的笑容,[月亮]
304,没有对比就没有伤害，我真的会被黄晓明笑到。跟刘亦菲放在一起这个肤色差，网友说黄晓明像刚从土里挖出来是的,[笑cry]
305,至爱无言。祝全天下的妈妈母亲节快乐！,[心]
306,圣剑剑圣无敌斩斩敌无数！ 还有什么对仗工整的？,[哈哈]
307,他就是真的英雄 🙏,[蜡烛]
308,今日糖分已超标，唤醒体验官CU郭熙彧 和王蓓 一起在集市闲逛，一起在海边谈心，一如往昔cp 平凡的一天，谁在屏幕前疯狂羡慕了～,[送花花]
309,王者荣耀王者荣耀貂蝉 只有最绚丽的身影，才会被世人铭记。 —— 终于爆料啦～ 画了很久，画的还不是很好，希望大家能喜欢,[羞嗒嗒]
310,洗衣机 生日快乐 生日快乐 生日快乐,[哈哈]
